Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE14323GSM358139	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358139 sample	P-G14323-4	GSE14323GSM358139 extract	total_RNA	P-G14323-3	GSE14323GSM358139 LE biotin	biotin	synthetic_RNA	HCC, biological rep 27	A-AFFY-37	P-AFFY-6	GSM358139.CEL	GSM358139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358145	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358145 sample	P-G14323-4	GSE14323GSM358145 extract	total_RNA	P-G14323-3	GSE14323GSM358145 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 7	A-AFFY-37	P-AFFY-6	GSM358145.CEL	GSM358145.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358199	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358199 sample	P-G14323-4	GSE14323GSM358199 extract	total_RNA	P-G14323-3	GSE14323GSM358199 LE biotin	biotin	synthetic_RNA	HCC, biological rep 45	A-AFFY-37	P-AFFY-6	GSM358199.CEL	GSM358199.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358190	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358190 sample	P-G14323-4	GSE14323GSM358190 extract	total_RNA	P-G14323-3	GSE14323GSM358190 LE biotin	biotin	synthetic_RNA	HCC, biological rep 42	A-AFFY-37	P-AFFY-6	GSM358190.CEL	GSM358190.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358213	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Normal liver tissue:  Gene expression using RMA method. Tissue: Normal	Tissue: Normal	Normal liver tissue	P-G14323-1	P-G14323-2	GSE14323GSM358213 sample	P-G14323-4	GSE14323GSM358213 extract	total_RNA	P-G14323-3	GSE14323GSM358213 LE biotin	biotin	synthetic_RNA	Normal, biological rep 5	A-AFFY-37	P-AFFY-6	GSM358213.CEL	GSM358213.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358204	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with HCC:  Gene expression using RMA method. Tissue: HCC	Tissue: HCC	liver tissue with HCC	P-G14323-1	P-G14323-2	GSE14323GSM358204 sample	P-G14323-4	GSE14323GSM358204 extract	total_RNA	P-G14323-3	GSE14323GSM358204 LE biotin	biotin	synthetic_RNA	HCC, biological rep 46	A-AFFY-37	P-AFFY-6	GSM358204.CEL	GSM358204.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358188	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358188 sample	P-G14323-4	GSE14323GSM358188 extract	total_RNA	P-G14323-3	GSE14323GSM358188 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 32	A-AFFY-37	P-AFFY-6	GSM358188.CEL	GSM358188.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358154	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358154 sample	P-G14323-4	GSE14323GSM358154 extract	total_RNA	P-G14323-3	GSE14323GSM358154 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 12	A-AFFY-37	P-AFFY-6	GSM358154.CEL	GSM358154.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358176	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	liver tissue with cirrhosis:  Gene expression using RMA method. Tissue: cirrhosis	Tissue: cirrhosis	liver tissue with cirrhosis	P-G14323-1	P-G14323-2	GSE14323GSM358176 sample	P-G14323-4	GSE14323GSM358176 extract	total_RNA	P-G14323-3	GSE14323GSM358176 LE biotin	biotin	synthetic_RNA	cirrhosis, biological rep 21	A-AFFY-37	P-AFFY-6	GSM358176.CEL	GSM358176.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
GSE14323GSM358210	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Normal liver tissue:  Gene expression using RMA method. Tissue: Normal	Tissue: Normal	Normal liver tissue	P-G14323-1	P-G14323-2	GSE14323GSM358210 sample	P-G14323-4	GSE14323GSM358210 extract	total_RNA	P-G14323-3	GSE14323GSM358210 LE biotin	biotin	synthetic_RNA	Normal, biological rep 2	A-AFFY-37	P-AFFY-6	GSM358210.CEL	GSM358210.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.raw.1.zip	E-GEOD-14323-processed-data-1718041466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14323/E-GEOD-14323.processed.1.zip
